Vehicle,Date,Alert,Count,T,DP,T-DP,H,WS
805,20/06/2022,cas_fcw,4,85.2,79.6,5.6,84.1,8.3
805,17/06/2022,cas_fcw,5,87.9,80.5,7.4,78.3,9.4
805,16/06/2022,cas_fcw,9,88.7,80.4,8.3,76.5,8.3
805,15/06/2022,cas_fcw,2,88.2,78.5,9.7,73.1,9.5
805,14/06/2022,cas_fcw,1,90.1,80.2,9.9,73.6,10.4
805,13/06/2022,cas_fcw,3,89.7,79.1,10.6,71.5,9.1
805,11/06/2022,cas_fcw,6,90.2,79.1,11.1,71.4,10.1
805,10/06/2022,cas_fcw,6,92.3,78.9,13.4,67.2,12
805,09/06/2022,cas_fcw,5,91.7,79.3,12.4,68.1,11.1
805,08/06/2022,cas_fcw,1,92.7,79.7,13,66.9,11
805,07/06/2022,cas_fcw,5,90.5,78.8,11.7,69.6,12.2
805,06/06/2022,cas_fcw,9,87.2,77.8,9.4,74,10.8
805,02/06/2022,cas_fcw,3,92.4,80.2,12.2,68,9.1
805,01/06/2022,cas_fcw,4,92.9,79.9,13,66.9,9.7
