X,Y,objectid,health_facility_name,address,street,landmark,locality,posatalcode,landline_number,facility_type,state_name,district_name,taluka_name,block_name,lat,lon,altitude,,,,
80.115179,12.961267,19923,Thiruneermalai,Thiruneermalai PHC,,,Thiruneermalai,,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.961267,80.115179,21.0601,,,,
80.134969,12.944917,19924,TAMBARAM,No 17,GST Road,NEAR MIT GATE BUS STOP,Chrompet,600045,44-22382400,Sub-District Hospital,Tamil Nadu,Kancheepuram,Sriperumbudur,Kundrathur,12.944917,80.134969,25.9964,,,,
80.122929,13.078858,19927,Thiruverkadu Urban PHC,No.7,Sivan Koil Street,Near SBI Bank,Thiruverkadu,600077,4426800437,Primary Health Centre,Tamil Nadu,Thiruvallur,Ambattur,Villivakkam,13.078858,80.122929,17.99,,,,
80.156486,13.119652,19958,VENKATAPURAM,1,KVK Swamy Street,Thulukathamman Koil,Siddhu Oragadam,600053,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VII,13.119652,80.156486,27,,,,
80.15228,13.114239,19960,VARADARAJAPURAM UHP,3,Railway Station Road,Canara Bank,Varadharajapuram,600050,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VII,13.114239,80.15228,22.78,,,,
80.116693,12.931167,19968,SUNDARAM COLONY UHP,SUNDARAM COLONY   HP,,,SUNDARAM COLONY,600059,,Primary Health Centre,Tamil Nadu,Kancheepuram,Tambaram,TAMBARAM MPTY,12.931167,80.116693,33.8508,,,,
80.148166,13.121606,19979,ORAGADAM,26,Gandhi High Road,Ambedkhar statue,oragadam,600050,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VII,13.121606,80.148166,28.33,,,,
80.14467,12.89093,19982,PADUVANCHERI,Paduvanchery PHC,,,Paduvanchery,600073,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.89093,80.14467,16.087,,,,
79.951,12.5913,20058,Padalam,,,,,603308,044-27598247,Primary Health Centre,Tamil Nadu,Kancheepuram,Maduranthakam,Maduranthakam MPTY,12.5913,79.951,27.39,,,,
80.1663,13.0208,20067,MUGALIVAKKAM,7,SCHOOL  STREET,,,600116,044-22523061,Primary Health Centre,Tamil Nadu,Kancheepuram,Sriperumbudur,Kundrathur,13.0208,80.1663,14.16,,,,
80.1863,12.9706,20096,Moovarasampet,PHC Moovarasampet,,,,600091,044-22246644,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.9706,80.1863,14.4835,,,,
80.181062,13.115678,20116,KORATTUR UHP,,"32nd street,TNHB",Bakthavatchalam College backside,Korattur,600050,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VII,13.115678,80.181062,14.08,,,,
80.153316,12.967232,20120,PALLAVARAM UHP,PALLAVARAM HP,,,PALLAVARAM,600043,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sriperumbudur,PALLAVARAM MPTY,12.967232,80.153316,26.7328,,,,
80.183325,12.958889,20134,KEELKATTALAI UHP,KEELKATTALAI,,,,600117,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sriperumbudur,PALLAVARAM MPTY,12.958889,80.183325,10.3918,,,,
80.303681,13.167947,23749,GOVT PERIPHERAL HL  PERIYAR NAGAR MCH ATT,"Govt.Peripheral Hospital, Periyar Nagar",Jaganadhan Salai,Shiva Vishnu Koil,Periyar Nagar,600082,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.167947,80.303681,9.22,,,,
80.28712,13.122638,23750,GOVT PERIPHERAL HL TONDIARPETTAI,"Govt.Peripheral Hospital, Tondiarpet",Kailasam St,New Washermenpet,Tondiarpet,600081,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.122638,80.28712,10.19,,,,
80.2867034,13.105014,23751,GOVT. STANLEY HOSP MCH,305,OSH Road,Mint,Royapuram,600001,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.105014,80.2867034,9.58,,,,
80.2888,13.1084289,23752,GOVT RSRM HOSPITAL MCH ATT,"Govt.RSRM hospital, Royapuram",Cemetery Road,GA Road,Royapuram,600013,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.1084289,80.2888,10.51,,,,
80.243,13.1634,23754,Madhavaram,"Government Hospital, Madhavaram",Milk Colony,Madhavaram,Manjambakkam,600051,,Sub-District Hospital,Tamil Nadu,Thiruvallur,Mathavaram,Madhavaram,13.1634,80.243,7.752,,,,
80.2908116,13.1264639,23755,Thiruvottriyur,"Government Hospital, Thiruvottriyur","Main Raod,",Thiruvottriyur,Thodaiyarpet,600019,,Sub-District Hospital,Tamil Nadu,Thiruvallur,Mathavaram,\N,13.1264639,80.2908116,10.325,,,,
80.29358,13.118197,23765,TONDIARPET UHP,"Dispensery,Housing Board",Poondithangamal Street,N-4 Beach fisherman colony,New washermanpet,600081,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.118197,80.29358,9.93,,,,
80.233026,13.121087,23766,AGARAM NORTH UHP,1,Pallavan Salai,Near TVK Bus stand,TVK Nagar,600082,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.121087,80.233026,9.62,,,,
80.261771,13.124752,23770,VYASARPADI NORTH UHP,155,14th east cross Street,M.K.B Nagar Bus Stand,vyasarpadi,600039,26733449,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.124752,80.261771,6.49,,,,
80.275232,13.092705,23772,P.K.GARDEN UHP,44,"Waltex Road,Ch-79",Near Thirupalli Street Bus Stand,Walltax Road,600079,25291105,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.092705,80.275232,8.1,,,,
80.257241,13.094844,23773,C.S.NAGAR UHP,1,"Sachithanandam street, Kosapet",DOBYCANA,Pattalam,600012,26621689,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.094844,80.257241,6,,,,
80.279936,13.12397,23776,KORUKKUPET UHP,15,Amman Koil Strret,Vaithiyanadhan Bridge,Korrukupet,600021,25920068,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.12397,80.279936,4.39,,,,
80.252928,13.104708,23777,WADIA NAGAR UHP,57,cooks road,Near CMS Cooks road,Meetupalayam,600012,26621252,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.104708,80.252928,6.19,,,,
80.277429,13.103057,23780,IRCH UHP,10,"Nainiappan Street,chindhadirpet","Near Fish Market ,Chindhadhirpet",Chindhadhirpet,600002,2853111,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.103057,80.277429,10.63,,,,
80.25961,13.111157,23781,ELANGO NAGAR UHP,18,Dr.Ambedhkar College road,Jeeva Railway station,Vysarpadi,600039,25515342,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.111157,80.25961,5.54,,,,
80.253581,13.1333931,23783,KODUNGAIYUR  II  UHP,39,Appar street,Vivekanandha Nagar Near Electricity Board,Kodungaiyur,600118,25541933,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.1333931,80.253581,6.08,,,,
80.30242,13.180083,23785,KUPPAM,1,Jothi Nagar,Corporation Primary School,Wimco Nagar,600019,25740058,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE I,13.180083,80.30242,6.55,,,,
80.25217,13.087912,23787,PURASAIWALKAM UHP,16,Rathnasabapathy Street,Appostlics Church,Purasaiwalkaam,600007,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.087912,80.25217,8.15,,,,
80.242537,13.089878,23788,AMBAL UHP,54,"chellapa Street ,Otteri",Sir Varsha School PVT,Ottery,600012,25324818,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.089878,80.242537,12.48,,,,
80.295112,13.15298,23791,SATHANKADU UHP,9A,Balakrishna Naidu Colony,Odiyamani Theatre,Sathangadu,600019,25990521,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE I,13.15298,80.295112,8.26,,,,
80.251368,13.097202,23792,MARAI MALAI ADIGAL NAGAR UHP,46,"Subburaya 2nd Street ,Nammalvarpet",AO Office,Ottery,600012,264450290,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.097202,80.251368,6.61,,,,
80.230529,13.101262,23794,NAGAMMIYAR NAGAR SOUTH UHP,1,Officer&#39;s Colony,Aynavaram Post Office,Ayanavaram,600023,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.101262,80.230529,12.34,,,,
80.277455,13.138178,23795,Dr R K NAGAR NORTH UHP,140,Anna Sandhiya Nagar 1st Street,Indian Oil Corporation,Tondiyarpet,600081,25920094,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.138178,80.277455,4.11,,,,
80.238165,13.101072,23796,NAGAMMAIAR NAGAR NORTH UHP,43,Vasantha Garden main Street,Near Iyyappan Temple,Ayanavaram,600023,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.101072,80.238165,10.75,,,,
80.256991,13.088554,23800,PERUMALPET UHP,30,"Kariappan Street,CHennai-7",Opposite to Sravana Store,Kariappa Street,600007,26422106,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.088554,80.256991,11,,,,
80.231665,13.116018,23802,SIRUVALLUR UHP,12,Kabilar Street,Near Brindha Theatre,Perambur,600011,25584738,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.116018,80.231665,11.93,,,,
80.238583,13.111619,23803,SEMBIUM UHP,238,Paper mills road,Mirsha Husain Park,Sembium,600011,25571606,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.111619,80.238583,11.82,,,,
80.229691,13.147193,23804,MADHAVARAM,47,Swamy Nagar,Back side to Z0ne III circle office,Madhavaram,600060,044-25530347,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE III,13.147193,80.229691,11.96,,,,
80.259205,13.125094,23805,PERAMBUR UHP,66,S.A.Colony 8th Street,opp.to ABR Kalyanamandabam,Vyasarpadi,600039,26722389,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.125094,80.259205,6.49,,,,
80.309583,13.1691914,23807,NEW WASHERMENPET UHP,4,Cheriyan Nagar 4th street,Thiruvottiyur Tolgate,New Washermanpet,600081,25911315,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.1691914,80.309583,3.44,,,,
80.288458,13.124556,23809,JEEVA NAGAR SOUTH UHP,602,"Thiruvottriyur High Road,",Zone 4 Zonal Office,Tondiarpet,600081,25983969,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.124556,80.288458,9.61,,,,
80.3045793,13.1691914,23810,AMS II UHP,44186,Rosary Church Road,Santhome Church,Mylapore,600004,24642566,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.1691914,80.3045793,9,,,,
80.043,12.9544,37153,SOMANGALAM,7,SCHOOL CROSS STREET,,,602109,044-27178266,Primary Health Centre,Tamil Nadu,Kancheepuram,Sriperumbudur,Kundrathur,12.9544,80.043,32.78,,,,
80.051356,12.872455,37155,Athanur,Primary Health Centre,Papanasam,,Athanur,612301,,Primary Health Centre,Tamil Nadu,Thanjavur,Papanasam,Papanasam,12.872455,80.051356,23.15,,,,
80.043,12.9544,37174,Somangalam,5,MAIN ROAD,,,602109,044-27178266,Primary Health Centre,Tamil Nadu,Kancheepuram,Sriperumbudur,\N,12.9544,80.043,32.41,,,,
80.056086,13.05634,37198,THIRUMALAZHISAI UPHC,No.164,TH Road,Near Bus Stand,Thirumazhisai,600124,443200155,Primary Health Centre,Tamil Nadu,Thiruvallur,Poonamallee,Poonamallee MPTY,13.05634,80.056086,25.94,,,,
80.0138,12.7128,37265,Kunnavakkam,\N,\N,,,603002,,Primary Health Centre,Tamil Nadu,Kancheepuram,Chengalpattu,Kattankolathur,12.7128,80.0138,48.8065,,,,
80.0326,12.7911,37279,Maraimalainagar,\N,\N,,,603209,,Primary Health Centre,Tamil Nadu,Kancheepuram,Chengalpattu,Kattankolathur,12.7911,80.0326,52.9575,,,,
80.0995,13.0502,37763,Poonamallee,Primary Health Centre,Ezhil nagar,Oppt Blind School,Poonamallee,600056,044 26492049,Primary Health Centre,Tamil Nadu,Thiruvallur,Poonamallee,Poonamallee MPTY,13.0502,80.0995,24.86,,,,
80.083819,13.078768,37778,Vilinjiampakkam UHP,Urban Primary Health Centre,Kamaraj nagar Main road,Oppt Girls Hr. Sec School,VILINGIYAMBAKKAM,600054,,Primary Health Centre,Tamil Nadu,Thiruvallur,Poonamallee,AVADI MPTY,13.078768,80.083819,31.06,,,,
80.0968,12.9054,37782,Peerkankaranai,PHC Peerkankaranai,,,,600063,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.9054,80.0968,26.149,,,,
80.099442,13.05069,37787,POONAMALLEE,Govt Taluk Hospital,Trunk road,Poonamallee Bus Stand,Poonamallee,600056,044-26490361,Sub-District Hospital,Tamil Nadu,Thiruvallur,Poonamallee,Poonamallee MPTY,13.05069,80.099442,24.862,,,,
80.083819,13.078768,37791,Paruthipattu UHP,No.2,Pillaiyar Kovil St,oppt. Chinamman Kovil,PARUTHIPATTU,600054,,Primary Health Centre,Tamil Nadu,Thiruvallur,Poonamallee,AVADI MPTY,13.078768,80.083819,29.89,,,,
80.062757,13.091773,38236,SORANCHERRY,Primary Health Centre,Eswaran Kovil St,Soranchery,Poonamallee,600062,4426850068,Primary Health Centre,Tamil Nadu,Thiruvallur,Poonamallee,Poonamallee MPTY,13.091773,80.062757,25.25,,,,
79.907752,12.550002,39091,GNANAGIRISVARANPETTA,,,,,603303,044-27598248,Primary Health Centre,Tamil Nadu,Kancheepuram,Maduranthakam,Maduranthakam MPTY,12.550002,79.907752,36.2,,,,
79.884935,12.510217,39343,MADHURANTHAGAM,5,Hospital Road,,,603306,4427552441,Sub-District Hospital,Tamil Nadu,Kancheepuram,Maduranthakam,Maduranthakam MPTY,12.510217,79.884935,32.44,,,,
79.865456,12.511372,41406,MADURANTAGAM,MADURANTAGAM,,,MADURANTAGAM,,,Primary Health Centre,Tamil Nadu,Kancheepuram,Maduranthakam,Maduranthakam MPTY,12.511372,79.865456,33.99,,,,
80.001403,12.761542,42668,Singaperumalkoil,\N,\N,,,603204,,Primary Health Centre,Tamil Nadu,Kancheepuram,Chengalpattu,Kattankolathur,12.761542,80.001403,46.6603,,,,
79.977658,12.669947,43007,CHENGALPATTU MEDL COLL HOSP,CHENGALPATTU MEDL COLL HOSP,"GST Road,",Bus stop,CHENGALPATTU MEDL COLL HOSP,603002,,Medical Colleges Hospital,Tamil Nadu,Kancheepuram,Chengalpattu,CHENGALPATTU MPTY,12.669947,79.977658,48,,,,
79.9753094,12.6846906,43017,CHENGALPATTU UPHC,19-Oct,OLD GST ROAD,,"ANUMANTHAPUTHERI, CHENGALPATTU",603001,044-27431080,Primary Health Centre,Tamil Nadu,Kancheepuram,Chengalpattu,CHENGALPATTU MPTY,12.6846906,79.9753094,51.5497,,,,
80.2589269,13.0712995,46472,ICH HOSPITAL FOR CHILDREN MCH ATT,Institute of Child Health Hospital for Children,Tamil Salai,Railway Station,Egmore,600008,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.0712995,80.2589269,10.75,,,,
80.275625,13.06075,46473,INST OF SOCIAL OBST AND GOVT KASTHURBA GANDHI HOSPITAL,Govt.Kasturba Gandhi Hospital,Victoria Hostel Rd,Beach,Triplicane,600005,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.06075,80.275625,10,,,,
80.2592506,13.074103,46474,IOG HL FOR WOMEN AND CHILDREN MCH ATT,Institute of Obstetrics and Gynecology for Women,Police Commisioners Rd,Pantheon Road,Egmore,600008,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.074103,80.2592506,9.92,,,,
80.277994,13.051163,46486,TRIPLICANE UHP,3,Dr.Bescent Road,Near V.House Bus Stop,ICCE Hpuse,600005,28442466,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.051163,80.277994,9.87,,,,
80.259499,12.983029,46487,THIRUVANMIYUR  UHP,8,east street Kamaraj Nagar,Near sangara School,thiruvanmiyur,600041,24571148,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,12.983029,80.259499,6.73,,,,
80.261916,13.051751,46489,ROYAPETTAH UHP,36,ammaiappan Lane,ROyapettah Police Station,Royapettah,600014,28350416,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.051751,80.261916,9,,,,
80.263463,13.098648,46491,BESANT NAGAR UHP,K.P Park,Demellows Road,KP Park Housing Board,Pulianthope,600012,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.098648,80.263463,7.51,,,,
80.286445,13.096239,46493,B.R.N.GARDEN UHP,225,Broadway road,Near Bharathi Arts college,BRN Garden,600001,25284022,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.096239,80.286445,8.48,,,,
